epoch,iteration,accuracy
1,1,1.0
1,2,0.546875
1,3,0.578125
1,4,0.515625
1,5,0.515625
1,6,0.390625
1,7,0.5625
1,8,0.46875
1,9,0.546875
1,10,0.484375
1,11,0.484375
1,12,0.515625
1,13,0.5625
1,14,0.515625
1,15,0.5
1,16,0.46875
1,17,0.5
1,18,0.453125
1,19,0.578125
1,20,0.453125
1,21,0.578125
1,22,0.515625
1,23,0.53125
1,24,0.546875
1,25,0.46875
1,26,0.5625
1,27,0.53125
1,28,0.484375
1,29,0.5
1,30,0.5
1,31,0.4375
1,32,0.4375
1,33,0.5625
1,34,0.578125
1,35,0.390625
1,36,0.484375
1,37,0.453125
1,38,0.5
1,39,0.46875
1,40,0.5
1,41,0.53125
1,42,0.515625
1,43,0.546875
1,44,0.515625
1,45,0.578125
1,46,0.5625
1,47,0.53125
1,48,0.5
1,49,0.4375
1,50,0.453125
1,51,0.4375
1,52,0.46875
1,53,0.453125
1,54,0.453125
1,55,0.515625
1,56,0.546875
1,57,0.515625
1,58,0.453125
1,59,0.53125
1,60,0.4375
1,61,0.515625
1,62,0.484375
1,63,0.46875
1,64,0.390625
1,65,0.546875
1,66,0.53125
1,67,0.5
1,68,0.5625
1,69,0.515625
1,70,0.5
1,71,0.453125
1,72,0.46875
1,73,0.4375
1,74,0.453125
1,75,0.453125
1,76,0.46875
1,77,0.484375
1,78,0.4375
1,79,0.484375
1,80,0.5625
1,81,0.578125
1,82,0.46875
1,83,0.546875
1,84,0.53125
1,85,0.59375
1,86,0.59375
1,87,0.421875
1,88,0.515625
1,89,0.5
1,90,0.453125
1,91,0.421875
1,92,0.453125
1,93,0.53125
1,94,0.453125
1,95,0.5
1,96,0.53125
1,97,0.4375
1,98,0.53125
1,99,0.5
1,100,0.453125
1,101,0.53125
1,102,0.4375
1,103,0.515625
1,104,0.515625
1,105,0.53125
1,106,0.5625
1,107,0.5
1,108,0.53125
1,109,0.53125
1,110,0.515625
2,1,0.46875
2,2,0.453125
2,3,0.484375
2,4,0.5625
2,5,0.5
2,6,0.390625
2,7,0.53125
2,8,0.484375
2,9,0.53125
2,10,0.546875
2,11,0.484375
2,12,0.53125
2,13,0.4375
2,14,0.5625
2,15,0.515625
2,16,0.46875
2,17,0.4375
2,18,0.515625
2,19,0.546875
